馃嚚馃嚦涓ㄥ垎浜禉姹 ,#genre#
CCTV-楂樺皵澶綉鐞 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232630/1/index.m3u8?fmt=ts2hls
CCTV-4K,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/1/index.m3u8?fmt=ts2hls
CCTV-鍙戠幇涔嬫梾,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236398/index.m3u8
CCTV-涓鐢 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236325/index.m3u8
CGTN-璁板綍,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236205/index.m3u8
CGTN-娉曡,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236288/index.m3u8
CGTN-闃胯,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236290/index.m3u8
CGTN-淇勮,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236228/index.m3u8
CGTN-瑗胯,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236235/index.m3u8
鍑ゅ嚢涓枃,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236260/index.m3u8
鍑ゅ嚢璧勮,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8
鍖椾含鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236241/index.m3u8
涓滄柟鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236227/index.m3u8
娣卞湷鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236251/index.m3u8
娴欐睙鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236171/index.m3u8
婀栧崡鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236225/index.m3u8
澶╂触鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236217/index.m3u8
娌冲寳鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236242/index.m3u8
姹熻嫃鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236221/index.m3u8
灞变笢鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236159/index.m3u8
瀹夊窘鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236177/index.m3u8
娌冲崡鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236218/index.m3u8
婀栧寳鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236271/index.m3u8
榛戦緳姹熷崼瑙 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236226/index.m3u8
杈藉畞鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236161/index.m3u8
鍚夋灄鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236268/index.m3u8
閲嶅簡鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236292/index.m3u8
鍥涘窛鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236255/index.m3u8
骞夸笢鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236262/index.m3u8
骞胯タ鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236263/index.m3u8
姹熻タ鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236212/index.m3u8
娴峰崡鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236232/index.m3u8
鐢樿們鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236201/index.m3u8
闄曡タ鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236370/index.m3u8
浜戝崡鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236234/index.m3u8
璐靛窞鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236236/index.m3u8
闈掓捣鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236252/index.m3u8
涓滃崡鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236151/index.m3u8
娴峰场鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236416/index.m3u8
澶ф咕鍖哄崼瑙 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236327/index.m3u8
寤惰竟鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236229/index.m3u8
鍏靛洟鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236191/index.m3u8
瀹佸鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236209/index.m3u8
灞辫タ鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236264/index.m3u8
鍘﹂棬鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236231/index.m3u8
瑗胯棌鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236274/index.m3u8
鏂扮枂鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236215/index.m3u8
鍐呰挋鍙ゅ崼瑙 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236270/index.m3u8
搴峰反鍗,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236185/index.m3u8
CETV-1,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236243/index.m3u8
閲嶆俯缁忓吀,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236436/1/index.m3u8?fmt=ts2hls
Y+,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229999/1/index.m3u8?fmt=ts2hls
Drama,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236208/index.m3u8
Movie,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236157/index.m3u8
閲戠墝缁艰壓,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236282/index.m3u8
娼﹩杈ｅ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236167/index.m3u8
娆箰鍓у満,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236173/index.m3u8
鐖辨儏鍠滃墽,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236179/index.m3u8
鍔ㄤ綔鐢靛奖,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236183/index.m3u8
瀹跺涵鍓у満,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236206/index.m3u8
鍝掓尝璧涗簨,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236207/index.m3u8
鍐涗簨璇勮,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236155/index.m3u8
鎬′即鍋ュ悍,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236220/index.m3u8
鎯婃倸鎮枒,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236223/index.m3u8
鍐滀笟鑷村瘜,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236233/index.m3u8
绮惧搧澶у墽,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236239/index.m3u8
鍙よ鍓у満,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236240/index.m3u8
姝︽悘澶╀笅,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236247/index.m3u8
榛戣帗鐢靛奖,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236248/index.m3u8
涓浗鍔熷か,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236267/index.m3u8
绮惧搧璁板綍,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236276/index.m3u8
鍐涙梾鍓у満,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236278/index.m3u8
绮惧搧浣撹偛,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236300/index.m3u8
鐐垶鏈潵,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236230/index.m3u8
鐖辨氮婕 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230005/1/index.m3u8?fmt=ts2hls
鐖遍櫌绾 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230019/1/index.m3u8?fmt=ts2hls
鐖卞枩鍓 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230022/1/index.m3u8?fmt=ts2hls
鐖辩骞 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230025/1/index.m3u8?fmt=ts2hls
鐖卞辜鏁 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235622/1/index.m3u8?fmt=ts2hls
鐖辩帺鍏 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235626/1/index.m3u8?fmt=ts2hls
鐖卞姩婕 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235628/1/index.m3u8?fmt=ts2hls
鐖辩瀛 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235603/1/index.m3u8?fmt=ts2hls
鐖卞璋 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235605/1/index.m3u8?fmt=ts2hls
鐖辫禌杞 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230032/index.m3u8
鐖辨梾琛 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230052/index.m3u8
鐖卞巻鍙 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230100/index.m3u8
鐖辨偓鐤 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230098/index.m3u8
鐖辫皪鎴 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230092/index.m3u8
鐖变綋鑲 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230103/index.m3u8
鐢靛奖,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236204/index.m3u8
娓告垙椋庝簯,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229320/1/index.m3u8?fmt=ts2hls
閮藉競鍓у満,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229280/1/index.m3u8?fmt=ts2hls
绉诲姩楂樻竻鐢佃,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229434/1/index.m3u8?fmt=ts2hls
娆㈢瑧鍓у満4K,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230782/1/index.m3u8?fmt=ts2hls
姹傜储璁板綍4K,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232776/1/index.m3u8?fmt=ts2hls
鍜挄鐩存挱,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232657/1/index.m3u8?fmt=ts2hls
鍥涙捣閽撻奔,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228662/1/index.m3u8?fmt=ts2hls
浼樹紭瀹濊礉,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229380/1/index.m3u8?fmt=ts2hls
鑼堕閬 ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229404/1/index.m3u8?fmt=ts2hls
杞﹁糠棰戦亾,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229410/1/index.m3u8?fmt=ts2hls
娴欐睙鏂伴椈,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233052/1/index.m3u8?fmt=ts2hls
娴欐睙姘戠敓,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232996/1/index.m3u8?fmt=ts2hls
娴欐睙鏁欑,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233002/1/index.m3u8?fmt=ts2hls
娴欐睙閽辨睙,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233005/1/index.m3u8?fmt=ts2hls
娴欐睙缁忔祹,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233008/1/index.m3u8?fmt=ts2hls
娴欐睙灏戝効,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233011/1/index.m3u8?fmt=ts2hls
涔嬫睙绾綍,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228989/1/index.m3u8?fmt=ts2hls
鏉窞缁煎悎,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230497/index.m3u8
鏉窞瑗挎箹鏄庣彔,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230466/index.m3u8
鏉窞鐢熸椿,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230472/index.m3u8
鏉窞褰辫,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230500/index.m3u8
鏉窞灏戝効浣撹偛,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230463/index.m3u8
鏉窞瀵艰,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230469/index.m3u8
鍢夊叴鏂伴椈缁煎悎,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232990/index.m3u8
鍢夊叴鍏叡,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233019/index.m3u8
鍢夊叴鏂囧寲褰辫,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233022/index.m3u8
涓芥按鍏叡,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235524/1/index.m3u8?fmt=ts2hls
涓芥按鏂伴椈,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235523/1/index.m3u8?fmt=ts2hls
涓芥按鍏叡,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235525/1/index.m3u8?fmt=ts2hls
婀栧窞鍏叡,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235526/1/index.m3u8?fmt=ts2hls
婀栧窞鏂伴椈缁煎悎,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235527/1/index.m3u8?fmt=ts2hls
婀栧窞鏂囧寲濞变箰,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235529/1/index.m3u8?fmt=ts2hls
琛㈠窞鍏叡棰戦亾,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233752/1/index.m3u8?fmt=ts2hls
琛㈠窞鏂伴椈缁煎悎,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233755/1/index.m3u8?fmt=ts2hls
琛㈠窞鏂伴椈缁煎悎,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233805/1/index.m3u8?fmt=ts2hls
閲戝崕鏁欒偛绉戞妧,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221234568/1/index.m3u8?fmt=ts2hls
閲戝崕鏂伴椈缁煎悎,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221234612/1/index.m3u8?fmt=ts2hls
閲戝崕鍏叡,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221234615/1/index.m3u8?fmt=ts2hls
NBTV-1,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235593/1/index.m3u8?fmt=ts2hls
NBTV-2,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235608/1/index.m3u8?fmt=ts2hls
NBTV-4,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235597/1/index.m3u8?fmt=ts2hls
鑸熷北鏂伴椈缁煎悎,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235449/1/index.m3u8?fmt=ts2hls
鑸熷北鍏叡,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235445/1/index.m3u8?fmt=ts2hls
娓╁窞鏂伴椈缁煎悎,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236328/1/index.m3u8?fmt=ts2hls
娴欐睙鍗4k瓒呴珮娓呴閬揫3840*2160],https://play-qukan.cztv.com/live/1758879019692345.m3u8
娴欐睙鍗[1920*1080],https://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
娴欐睙鍗[1280*720],https://play-qukan.cztv.com/live/1746687468244305.m3u8
娴欐睙鍗[1920*1080],https://play-qukan.cztv.com/live/1746687519046362.m3u8
娴欐睙閽辨睙[1920*1080],https://ali-xwl.cztv.com/live/channel021080Plxw.m3u8
娴欐睙缁忔祹鐢熸椿[1920*1080],https://ali-xwl.cztv.com/live/channel031080Plxw.m3u8
娴欐睙鏁欑褰辫[1920*1080],https://ali-xwl.cztv.com/live/channel041080Plxw.m3u8
娴欐睙姘戠敓浼戦棽[1920*1080],https://ali-xwl.cztv.com/live/channel061080Plxw.m3u8
娴欐睙鏂伴椈[1920*1080],https://ali-xwl.cztv.com/live/channel071080Plxw.m3u8
娴欐睙灏戝効[1920*1080],https://ali-xwl.cztv.com/live/channel081080Plxw.m3u8
娴欐睙鍥介檯[1920*1080],https://ali-xwl.cztv.com/live/channel101080Plxw.m3u8
娴欐睙濂芥槗璐璠1920*1080],https://ali-xwl.cztv.com/live/channel111080Plxw.m3u8
娴欐睙涔嬫睙绾綍[1920*1080],https://ali-xwl.cztv.com/live/channel121080Plxw.m3u8
鏉窞鏂伴椈缁煎悎[1920*1080],https://ali-xwl.cztv.com:443/live/hangzhouds.m3u8
瀹佹尝鐢佃涓€濂梉1920*1080],http://l.cztvcloud.com/channels/lantian/sxchannel02/1080p.m3u8
缁嶅叴鏂伴椈缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/sxchannel04/1080p.m3u8
缁嶅叴鏂伴椈缁煎悎棰戦亾[1280*720],http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
缁嶅叴鍏叡棰戦亾[1280*720],http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
缁嶅叴鏂囧寲褰辫棰戦亾[1280*720],http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
閲戝崕鏂伴椈缁煎悎棰戦亾[1920*1080],https://ali-xwl.cztv.com:443/live/jinhuads.m3u8
閲戝崕鏂伴椈缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/sxchannel07/1080p.m3u8
鑸熷北鏂伴椈缁煎悎棰戦亾[1920*1080],https://ali-xwl.cztv.com:443/live/zhoushands.m3u8
鑸熷北鏂伴椈缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/sxchannel11/1080p.m3u8
琛㈠窞鏂伴椈缁煎悎棰戦亾[1920*1080],https://ali-xwl.cztv.com:443/live/quzhouds.m3u8
琛㈠窞鏂伴椈缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/sxchannel08/1080p.m3u8
婀栧窞鏂伴椈缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/sxchannel05/1080p.m3u8
婀栧窞鏂伴椈缁煎悎棰戦亾[1280*720],http://hzcm-live.media.hugd.com/3f5fa7d64c7c46a38c6bd8ad35e836cc/65128273761b4731ae53729ea6dcf932.m3u8?auth_key=2277598215-9d21c15111244bea8d298c361d31a72e-0-d031198f58d44b0e91ba2e3f3b188865
婀栧窞鍏叡姘戠敓棰戦亾[1280*720],http://hzcm-live.media.hugd.com/1e6b554b9ab74513958c0e1ffe664d22/9acaa7634309494cb29a85eb12136607.m3u8?auth_key=2272900830-9a2389b8bf4e49d580d4ad807423d326-0-ea78a5c7a678c436263582d368f5009e
婀栧窞鏂囧寲濞变箰棰戦亾[1280*720],http://hzcm-live.media.hugd.com/613c47f0ab0d4eaa98b21378d0db6ded/0051d31c9dd543a7825eea4e49675b2a.m3u8?auth_key=2277598059-0a5ebfa1c0dc4671b42a60810fc37039-0-fa625b7d1feab612062453c12e3c8887
鍢夊叴鏂伴椈缁煎悎棰戦亾[1920*1080],https://ali-xwl.cztv.com:443/live/jiaxingds.m3u8
鍢夊叴鏂伴椈缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/sxchannel06/1080p.m3u8
娓╁窞鏂伴椈缁煎悎棰戦亾[1920*1080],https://ali-xwl.cztv.com:443/live/wenzhouds.m3u8
娓╁窞鏂伴椈缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/sxchannel03/1080p.m3u8
娓╁窞鏂伴椈缁煎悎棰戦亾[1280*720],http://play-qk.wzrb.com.cn/live/1728463192330572.m3u8?auth_key=2044351793-fa66d1d33e3d426ca3dccb94845595d7-0-4bc36ce83dfac0c77ddd501ffe397bcc
鍙板窞鏂伴椈缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/sxchannel10/1080p.m3u8
涓芥按鏂伴椈缁煎悎棰戦亾[1920*1080],https://ali-xwl.cztv.com:443/live/lishuids.m3u8
涓芥按鏂伴椈缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/sxchannel09/1080p.m3u8
娴峰畞鏂伴椈缁煎悎棰戦亾[1280*720],https://p2hs.vzan.com/slowlive/317913155078575177/live.m3u8?zbid=293304&tpid=1708007815
娴峰畞鐢熸椿鏈嶅姟棰戦亾[1280*720],https://p2hs.vzan.com/slowlive/140655701702632623/live.m3u8
鍢夊杽缁煎悎棰戦亾[1920*1080],https://p2hs.vzan.com/slowlive/633251673265558519/live.m3u8
浣欐澀缁煎悎棰戦亾[1920*1080],https://29371.hlsplay.aodianyun.com/lms_29371/slow_channel_master_seat_1445826801.m3u8?auth_key=3300411293-0-0-273f15e1d217965ba192be222ea38b2d&extra_key=V8uEmh_EXr1eVHhCsqQdCb2KQpy3kbF4Lfrf1S8rAZfBbea83rMZ6uqfZL74iDr9sfX_YL2E_25HrvU_mbtZh3ifdtd3R0IP_tWpo
宓婂窞缁煎悎棰戦亾[1280*720],https://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
璇告毃缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
璇告毃缁煎悎骞挎挱[1920*1080],http://l.cztvcloud.com/channels/lantian/SXzhujiaud/128k.m3u8
鏂囨垚缁煎悎棰戦亾[1280*720],http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
鏂囨垚缁煎悎棰戦亾[1920*1080],http://nplay-qukan.cztv.com/live/1757486581311330.m3u8
琛㈡睙缁煎悎棰戦亾[1920*1080],http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
缂欎簯缁煎悎棰戦亾[1280*960],http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
缂欎簯缁煎悎骞挎挱[1920*1080],http://l.cztvcloud.com/channels/lantian/SXjinyun3/720p.m3u8


榛戣帗鍔ㄧ敾,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236261/index.m3u8
鍝堝搱鐐姩,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236296/index.m3u8
鍢変匠鍗￠€ ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228593/1/index.m3u8?fmt=ts2hls
浼樻极鍗￠€ ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228378/1/index.m3u8?fmt=ts2hls
鍗￠叿灏戝効,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228375/1/index.m3u8?fmt=ts2hls
閲戦拱鍗￠€ ,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228362/1/index.m3u8?fmt=ts2hls

