🛰️央衛頻道,#genre#
台视新闻,http://119.91.7.169:2026/TW.php?id=台视新闻
中视新闻,http://119.91.7.169:2026/TW.php?id=中视新闻
華视新闻,http://119.91.7.169:2026/TW.php?id=華视新闻
TVBS新闻,http://119.91.7.169:2026/TW.php?id=TVBS新闻
寰宇新闻台,http://119.91.7.169:2026/TW.php?id=寰宇新闻台
寰宇新闻台灣台,http://119.91.7.169:2026/TW.php?id=寰宇新闻台灣台
非凡新闻台,http://119.91.7.169:2026/TW.php?id=非凡新闻台
镜视新闻,http://119.91.7.169:2026/TW.php?id=镜视新闻
東森新闻台,http://119.91.7.169:2026/TW.php?id=東森新闻台
東森財經新闻台,http://119.91.7.169:2026/TW.php?id=東森財經新闻台

民视台灣台,http://119.91.7.169:2026/TW.php?id=民视台灣台
民视第一台,http://119.91.7.169:2026/TW.php?id=民视第一台
民视綜藝台,http://119.91.7.169:2026/TW.php?id=民视綜藝台
民视旅遊台,http://119.91.7.169:2026/TW.php?id=民视旅遊台
民视影劇台,http://119.91.7.169:2026/TW.php?id=民视影劇台
台视財經,http://119.91.7.169:2026/TW.php?id=台视財經
八大精彩台,http://119.91.7.169:2026/TW.php?id=八大精彩台
八大綜藝台,http://119.91.7.169:2026/TW.php?id=八大綜藝台
TVBS精采台,http://119.91.7.169:2026/TW.php?id=TVBS精采台
TVBS歡樂台,http://119.91.7.169:2026/TW.php?id=TVBS歡樂台
中视菁采台,http://119.91.7.169:2026/TW.php?id=中视菁采台
中视經典台,http://119.91.7.169:2026/TW.php?id=中视經典台
龍華日韓台,http://119.91.7.169:2026/TW.php?id=龍華日韓台
龍華偶像台,http://119.91.7.169:2026/TW.php?id=龍華偶像台
龍華卡通台,http://119.91.7.169:2026/TW.php?id=龍華卡通台
龍華電影台,http://119.91.7.169:2026/TW.php?id=龍華電影台
龍華戲劇台,http://119.91.7.169:2026/TW.php?id=龍華戲劇台
龍華經典台,http://119.91.7.169:2026/TW.php?id=龍華經典台
龍華洋片台,http://119.91.7.169:2026/TW.php?id=龍華洋片台

靖天卡通台,http://119.91.7.169:2026/TW.php?id=靖天卡通台
靖天綜合台,http://119.91.7.169:2026/TW.php?id=靖天綜合台
靖天日本台,http://119.91.7.169:2026/TW.php?id=靖天日本台
靖天歡樂台,http://119.91.7.169:2026/TW.php?id=靖天歡樂台
靖天映畫,http://119.91.7.169:2026/TW.php?id=靖天映畫
靖天戲劇台,http://119.91.7.169:2026/TW.php?id=靖天戲劇台
靖天電影台,http://119.91.7.169:2026/TW.php?id=靖天電影台
靖天育樂台,http://119.91.7.169:2026/TW.php?id=靖天育樂台
靖天國際台,http://119.91.7.169:2026/TW.php?id=靖天國際台
靖天資訊台,http://119.91.7.169:2026/TW.php?id=靖天資訊台
靖洋戲劇台,http://119.91.7.169:2026/TW.php?id=靖洋戲劇台
靖洋卡通台,http://119.91.7.169:2026/TW.php?id=靖洋卡通台
愛爾達娛樂台,http://119.91.7.169:2026/TW.php?id=愛爾達娛樂台
豬哥亮歌廳秀,http://119.91.7.169:2026/TW.php?id=豬哥亮歌廳秀
亞洲旅遊台,http://119.91.7.169:2026/TW.php?id=亞洲旅遊台
公视戲劇,http://119.91.7.169:2026/TW.php?id=公视戲劇
台湾戏剧台,http://119.91.7.169:2026/TW.php?id=台湾戏剧台
寰宇财经,http://119.91.7.169:2026/TW.php?id=寰宇财经
中天亞洲台,http://119.91.7.169:2026/TW.php?id=中天亞洲台
非凡商業台,http://119.91.7.169:2026/TW.php?id=非凡商業台
第1商業台,http://119.91.7.169:2026/TW.php?id=第1商業台

采昌影劇台,http://119.91.7.169:2026/TW.php?id=采昌影劇台
影迷纪实,http://119.91.7.169:2026/TW.php?id=影迷纪实
影迷數位電影台,http://119.91.7.169:2026/TW.php?id=影迷數位電影台
视納華仁紀實頻道,http://119.91.7.169:2026/TW.php?id=视納華仁紀實頻道
博斯魅力台,http://119.91.7.169:2026/TW.php?id=博斯魅力台
博斯高球台,http://119.91.7.169:2026/TW.php?id=博斯高球台
博斯高球二台,http://119.91.7.169:2026/TW.php?id=博斯高球二台
博斯運動一台,http://119.91.7.169:2026/TW.php?id=博斯運動一台
博斯運動二台,http://119.91.7.169:2026/TW.php?id=博斯運動二台
博斯網球台,http://119.91.7.169:2026/TW.php?id=博斯網球台
博斯無限台,http://119.91.7.169:2026/TW.php?id=博斯無限台
博斯無限二台,http://119.91.7.169:2026/TW.php?id=博斯無限二台
智林體育台,http://119.91.7.169:2026/TW.php?id=智林體育台
GINX Esports TV,http://119.91.7.169:2026/TW.php?id=GINX Esports TV
時尚運動X,http://119.91.7.169:2026/TW.php?id=時尚運動X
Smart知識台,http://119.91.7.169:2026/TW.php?id=Smart知識台
ELTV生活英語台,http://119.91.7.169:2026/TW.php?id=ELTV生活英語台
達文西頻道,http://119.91.7.169:2026/TW.php?id=達文西頻道
客家電视台,http://119.91.7.169:2026/TW.php?id=客家電视台
半島國際新闻台,http://119.91.7.169:2026/TW.php?id=半島國際新闻台

🇲🇴港澳台1,#genre#
中天新闻台,http://119.91.7.169:2026/TW.php?id=中天新闻台

ELta综合,http://flvforhls-pull-goldendragon.speedws.com/live/1CBlSg6bMAzu8e1AeCD6WmBLkb3YQB7yRDxqW1b9TtvKu8ydxC.flv
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华经典,https://cdn8.163189.xyz/163189/lhjd
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj

有线新闻,https://hls.168.us.kg/u/78/master.m3u8
Now新闻,https://cdn.163189.xyz/163189/now

Now星影(国),http://rihou.cc:555/tv/hktv%2F19nowxy
Now爆谷(国),http://rihou.cc:555/tv/hktv%2F19nowbg
Now华剧台,http://rihou.cc:555/tv/hktv%2F19nowhj
Now剧集台,http://rihou.cc:555/tv/hktv%2F19nowjj
TVB功夫(国),http://rihou.cc:555/tv/hktv%2F19tvbgf

寰宇新闻,http://rihou.cc:555/tv/[Uk]寰宇新闻
民视新闻,http://rihou.cc:555/tv/[Uk]民视新闻
民视新闻,http://rihou.cc:555/tv/[mn]民视新闻
中视新闻,http://rihou.cc:555/tv/[mn]中视新闻
华视新闻,http://rihou.cc:555/tv/[mn]华视新闻
台视新闻,http://rihou.cc:555/tv/[mn]台视新闻
公视闽南,http://rihou.cc:555/tv/[mn]公视闽南
民视闽南,http://rihou.cc:555/tv/[mn]民视闽南
中视闽南,http://rihou.cc:555/tv/[mn]中视闽南
华视闽南,http://rihou.cc:555/tv/[mn]华视闽南
台视闽南,http://rihou.cc:555/tv/[mn]台视闽南
公视闽语,http://rihou.cc:555/tv/[mn]公视闽语
公视综合,http://rihou.cc:555/tv/[mn]公视综合
民视南闽,http://rihou.cc:555/tv/[mn]民视南闽
民视第一,http://rihou.cc:555/tv/[mn]民视第一
中视经典,http://rihou.cc:555/tv/[mn]中视经典
中视菁采,http://rihou.cc:555/tv/[mn]中视菁采
华视教育,http://rihou.cc:555/tv/[mn]华视教育
台视综合,http://rihou.cc:555/tv/[mn]台视综合
台视财经,http://rihou.cc:555/tv/[mn]台视财经

凤凰资讯,http://uo202.1985001.xyz:66/rtp/239.93.0.118:2191
凤凰中文,http://222.212.84.190:54123/udp/239.93.1.9:2192
凤凰中文,http://zqh2333.top:2222/rtp/239.93.24.9:2192
凤凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯,http://zqh2333.top:2222/rtp/239.93.24.4:2191
凤凰中文,http://bxtv.3a.ink/api.php?id=fhzw
凤凰资讯,http://bxtv.3a.ink/api.php?id=fhzx
凤凰香港,http://bxtv.3a.ink/api.php?id=fhhk
凤凰中文,http://58.19.180.108:9981/stream/channelid/1749482778?profile=pass
凤凰资讯,http://58.19.180.108:9981/stream/channelid/708272803?profile=pass
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=凤凰中文
凤凰资讯,http://iptv.4666888.xyz/iptv2A.php?id=凤凰资讯
凤凰香港,http://iptv.4666888.xyz/iptv2A.php?id=凤凰香港
凤凰中文,http://58.19.180.108:9981/stream/channelid/1749482778?profile=pass
凤凰资讯,http://58.19.180.108:9981/stream/channelid/708272803?profile=pass

东森新闻,http://211.72.174.95:8138/0.ts
寰宇新闻,http://51.89.166.17:3002/index.php?id=huanyuxinwen_twn
东森新闻,http://51.89.166.17:3002/index.php?id=ettvnews
年代新闻,http://51.89.166.17:3002/index.php?id=niandainews_twn
中视新闻,http://51.89.166.17:3002/index.php?id=zhongshinews_twn
东森新闻,http://211.72.174.95:8138/0.ts
民视新闻,http://211.72.174.95:8117/0.ts
中视HD,http://211.72.174.95:8113/0.ts
华视HD,http://211.72.174.95:8114/0.ts
公视,http://211.72.174.95:8116/0.ts
民视,http://211.72.174.95:8115/0.ts
台视HD,http://211.72.174.95:8112/0.ts
凤凰中文,http://vallest.uk/livehttpplay?channel_id=30014
凤凰资讯,http://vallest.uk/livehttpplay?channel_id=30015
凤凰香港,http://vallest.uk/livehttpplay?channel_id=30016
无线新闻,http://bxtv.3a.ink/api.php?id=wxxw
Now新闻,http://iptv.4666888.xyz/iptv2A.php?id=NOW新闻
Now新闻,http://bxtv.3a.ink/api.php?id=now
Now新闻,http://cdn.163189.xyz/163189/now
澳视卫星,https://cdn6.163189.xyz/163189/as
澳视澳门,https://cdn6.163189.xyz/163189/asam
澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,http://cdn6.163189.xyz/163189/amzy
翡翠台,http://cdn6.163189.xyz/163189/fct4k
八度空间,https://cdn6.163189.xyz/163189/8tv
CH5,https://cdn6.163189.xyz/163189/ch5
CH8,https://cdn6.163189.xyz/163189/ch8
CHU,https://cdn6.163189.xyz/163189/chu
NOW NEWS,http://cdn.163189.xyz/163189/now
🌍港澳台2,#genre#
凤凰中文,http://t.061899.xyz/tl/js/js.php?id=fhwszwt
凤凰资讯,http://t.061899.xyz/tl/js/js.php?id=fhwszxt
凤凰香港,http://t.061899.xyz/tl/js/js.php?id=fhwsxgt
TVB翡翠台,http://t.061899.xyz/tl/js/js.php?id=tvbfct
TVB无线新闻台,http://t.061899.xyz/tl/js/js.php?id=tvbwxxwt
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw
凤凰资讯,https://cdn6.101.qzz.io/163189/fhzx
凤凰香港,https://cdn6.101.qzz.io/163189/fhhk
无线新闻,https://cdn6.101.qzz.io/163189/wxxw
无线翡翠,https://cdn6.101.qzz.io/163189/fct
无线翡翠,https://mytv.cdn.loc.cc/o12.php?id=fct
TVB明珠,https://mytv.cdn.loc.cc/o12.php?id=mzt
无线星河,https://cdn6.101.qzz.io/163189/tvbxh
TVB翡翠,http://iptv.4666888.xyz/iptv2A.php?id=TVB翡翠
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=TVB明珠
TVBPLUS,http://iptv.4666888.xyz/iptv2A.php?id=TVBPLUS
NOW新闻,http://iptv.4666888.xyz/iptv2A.php?id=NOW新闻
VIUTV,http://iptv.4666888.xyz/iptv2A.php?id=VIUTV
TVB千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=TVB千禧经典
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=TVB1
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=TVBJ1
星空卫视,http://iptv.4666888.xyz/iptv2A.php?id=星空卫视
重温经典,http://iptv.4666888.xyz/iptv2A.php?id=重温经典
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=八度空间
综艺玩很大,http://iptv.4666888.xyz/iptv2A.php?id=综艺玩很大
爱奇艺,http://iptv.4666888.xyz/iptv2A.php?id=爱奇艺
TVBS台剧,http://iptv.4666888.xyz/iptv2A.php?id=TVBS台剧
纬来戏剧,http://iptv.4666888.xyz/iptv2A.php?id=纬来戏剧
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
TVBS新闻,rtmp://f13h.mine.nu/sat/tv551
东森财经新闻台,rtmp://f13h.mine.nu/sat/tv571
ELTA体育1,rtmp://f13h.mine.nu/sat/md051
ELTA体育2,rtmp://f13h.mine.nu/sat/md041
东森超视,rtmp://f13h.mine.nu/sat/tv331
超视34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
超视34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森超视,rtmp://f13h.mine.nu/sat/tv331
东森超视,rtmp://f13h.mine.nu/sat/tv331
astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
astroAec,http://php.jdshipin.com/smt.php?id=AEC
astroAod,http://php.jdshipin.com/smt.php?id=Aodhd
astro欢喜,http://php.jdshipin.com/smt.php?id=Huahee
astro爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
八度空间,http://php.jdshipin.com/smt.php?id=TV8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
2025年93大阅兵,https://vvip.high26-playback.com/20250903/20785_ad349260/index.m3u8
正义必胜晚会,http://jx.999315.xyz/yzzy/20250905/21018_6395ac11/index.m3u8
阅兵装备详解,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8bc3d97bc5b9e4f037001991f54f4f9_258.mp4
朝鲜视角阅兵,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8be81aabc2e7a4f03700199282ce8e4_258.mp4
新视觉hd频道,http://120.76.248.139/live/bfgd/4200000249.m3u8
苏州4k频道,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4k频道,https://event.pull.hebtv.com:443/live/live101.m3u8

🇭🇰港澳台(主线),#genre#
凤凰中文,https://cdn6.163189.xyz/163189/fhzw
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰香港,https://cdn6.163189.xyz/163189/fhhk
有线新闻,https://cdn.163189.xyz/163189/hoy78
有线综合,https://cdn6.163189.xyz/163189/hoy
有线亚剧,https://cdn2.163189.xyz/163189/hoyjj
无线新闻,https://cdn6.163189.xyz/163189/wxxw
无线翡翠,https://cdn6.163189.xyz/163189/fct
无线翡翠4K,https://cdn6.163189.xyz/163189/fct4k
无线华丽,https://cdn6.163189.xyz/163189/hlfct
无线明珠,https://cdn6.163189.xyz/163189/mzt
无线星河,https://cdn6.163189.xyz/163189/tvbxh
无线功夫,https://cdn6.163189.xyz/163189/yzwx
澳视澳门,https://cdn6.163189.xyz/163189/asam
澳视卫星,https://cdn6.163189.xyz/163189/as
澳门体育,https://cdn6.163189.xyz/163189/amty
澳门综艺,https://cdn6.163189.xyz/163189/amzy
澳门莲花,https://cdn6.163189.xyz/163189/amlh
央视综合,https://cdn6.163189.xyz/163189/cctv1
重温经典,https://cdn6.163189.xyz/163189/cwjd
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华经典,https://cdn8.163189.xyz/163189/lhjd
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
CHU综合,https://cdn6.163189.xyz/163189/chu
CH5综合,https://cdn6.163189.xyz/163189/ch5
CH8综合,https://cdn6.163189.xyz/163189/ch8
八度空间,https://cdn6.163189.xyz/163189/8tv

凤凰电影频道,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
凤凰电影频道,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
星空电影频道,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
星空音乐频道,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
星空卫视频道,http://xhyx.gz.cn:1698/hls/35/index.m3u8
星空卫视频道,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
亚洲卫视频道,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
香港卫视频道,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港C+_-频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
环球电视频道,http://utv1.hqtvzb.com:9999/hls/world.m3u8
私人影院频道,P2p://starvod.xyz:19806/74567d46c9a54cb8aab7bb35b7446cf2.ts
重温经典频道,http://m.061899.xyz/mg/cwjd
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
澳门莲花频道,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
澳视葡语频道,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯频道,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac频道,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
番薯综合频道,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
民视闽南频道,rtmp://f13h.mine.nu/sat/tv051
中视闽南频道,rtmp://f13h.mine.nu/sat/tv091
华视闽南频道,rtmp://f13h.mine.nu/sat/tv111
台视闽南频道,rtmp://f13h.mine.nu/sat/tv071
非凡新闻频道,rtmp://f13h.mine.nu/sat/tv581
东森超视频道,rtmp://f13h.mine.nu/sat/tv331
tvbs闽南频道,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧频道,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐频道,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩频道,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球频道,http://61.221.215.25:8800/hls/57/index.m3u8
纬来育乐频道,rtmp://f13h.mine.nu/sat/tv701
纬来日本频道,rtmp://f13h.mine.nu/sat/tv771
纬来体育频道,rtmp://f13h.mine.nu/sat/tv721
DAZN-体育壹,rtmp://f13h.mine.nu/sat/tv731
DAZN-体育贰,rtmp://f13h.mine.nu/sat/tv741
momo'tv频道,rtmp://f13h.mine.nu/sat/tv761

🌍港澳台4,#genre#
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
新闻综合台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
香港_C+_频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
Fashion TV,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
澳门mac频道,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
翡翠台,http://1b6467f415.iok.la:9931/tsfile/live/1007_1.m3u8
FOCUS,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
中旺电视,http://38.64.72.148:80/hls/modn/list/4010/playlist.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/playlist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/playlist.m3u8
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
ANIMAX,https://stream1.freetv.fun/animax-1.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛新闻,https://live-hls-web-aja.getaj.net/AJA/02.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8

👽港澳台5,#genre#
澳视澳门,http://iptv.4666888.xyz/iptv2A.php?id=41
广东珠江,http://iptv.4666888.xyz/iptv2A.php?id=19
广东体育,http://iptv.4666888.xyz/iptv2A.php?id=20
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
有线新闻,http://iptv.4666888.xyz/iptv2A.php?id=31
无线翡翠,http://iptv.4666888.xyz/iptv2A.php?id=34
无线华丽,http://iptv.4666888.xyz/iptv2A.php?id=28
无线明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
无线娱乐,http://iptv.4666888.xyz/iptv2A.php?id=36
无线千禧,http://iptv.4666888.xyz/iptv2A.php?id=22
无线1_美,http://iptv.4666888.xyz/iptv2A.php?id=25
无线J1美,http://iptv.4666888.xyz/iptv2A.php?id=26
无线翡剧,http://iptv.4666888.xyz/iptv2A.php?id=33
有线综合,http://iptv.4666888.xyz/iptv2A.php?id=35
